model_path	term_hint	mapping_work	source_internal	status
xr.process	BG-2	object / compose		todo
xr.process.customizationId	BT-24	value / map		todo
xr.process.profileId	BT-23	value / map		todo
xr.invoice		object / compose		todo
xr.invoice.id	BT-1	value / map		todo
xr.invoice.issueDate	BT-2	value / map		todo
xr.invoice.dueDate	BT-9	value / map		todo
xr.invoice.typeCode	BT-3	value / map		todo
xr.invoice.documentCurrencyCode	BT-5	value / map		todo
xr.invoice.taxCurrencyCode	BT-6	value / map		todo
xr.invoice.taxPointDate	BT-7	value / map		todo
xr.invoice.buyerReference	BT-10	value / map		todo
xr.invoice.accountingCost	BT-19	value / map		todo
xr.notes[]	BG-1	list / repeat		todo
xr.notes[].subjectCode	BT-21	value / map		todo
xr.notes[].text	BT-22	value / map		todo
xr.invoicePeriod	BT-8 plus BG-14	object / compose		todo
xr.invoicePeriod.descriptionCode	BT-8	value / map		todo
xr.invoicePeriod.startDate	BT-73	value / map		todo
xr.invoicePeriod.endDate	BT-74	value / map		todo
xr.projectReferenceId	BT-11	value / map		todo
xr.contractReferenceId	BT-12	value / map		todo
xr.receiptReferenceId	BT-15	value / map		todo
xr.despatchReferenceId	BT-16	value / map		todo
xr.originatorReferenceId	BT-17	value / map		todo
xr.orderReference	BT-13, BT-14	object / compose		todo
xr.orderReference.id	BT-13	value / map		todo
xr.orderReference.salesOrderId	BT-14	value / map		todo
xr.precedingInvoices[]	BG-3	list / repeat		todo
xr.precedingInvoices[].id	BT-25	value / map		todo
xr.precedingInvoices[].issueDate	BT-26	value / map		todo
xr.invoiceObjectReference	BT-18	object / compose		todo
xr.invoiceObjectReference.id	BT-18	value / map		todo
xr.invoiceObjectReference.schemeId	BT-18 schemeId	value / map		todo
xr.seller	BG-4, BG-5, BG-6	object / compose		todo
xr.seller.name	BT-27	value / map		todo
xr.seller.tradeName	BT-28	value / map		todo
xr.seller.endpoint	BT-34	object / compose		todo
xr.seller.endpoint.value	BT-34	value / map		todo
xr.seller.endpoint.schemeId	BT-34 schemeId	value / map		todo
xr.seller.identifiers[]	BT-29	list / repeat		todo
xr.seller.identifiers[].value	BT-29	value / map		todo
xr.seller.identifiers[].schemeId	BT-29 schemeId	value / map		todo
xr.seller.sepaCreditorId	BT-90 when represented on seller	value / map		todo
xr.seller.vatIdentifier	BT-31	value / map		todo
xr.seller.taxIdentifier	BT-32	value / map		todo
xr.seller.legalRegistrationId	BT-30	value / map		todo
xr.seller.legalRegistrationIdSchemeId	BT-30 schemeId	value / map		todo
xr.seller.legalForm	BT-33	value / map		todo
xr.seller.address	BG-5	object / compose		todo
xr.seller.address.street	BT-35	value / map		todo
xr.seller.address.additionalStreet	BT-36	value / map		todo
xr.seller.address.addressLine	BT-162	value / map		todo
xr.seller.address.city	BT-37	value / map		todo
xr.seller.address.postalCode	BT-38	value / map		todo
xr.seller.address.countrySubdivision	BT-39	value / map		todo
xr.seller.address.countryCode	BT-40	value / map		todo
xr.seller.contact	BG-6	object / compose		todo
xr.seller.contact.name	BT-41	value / map		todo
xr.seller.contact.phone	BT-42	value / map		todo
xr.seller.contact.email	BT-43	value / map		todo
xr.buyer	BG-7, BG-8, BG-9	object / compose		todo
xr.buyer.name	BT-44	value / map		todo
xr.buyer.tradeName	BT-45	value / map		todo
xr.buyer.endpoint	BT-49	object / compose		todo
xr.buyer.endpoint.value	BT-49	value / map		todo
xr.buyer.endpoint.schemeId	BT-49 schemeId	value / map		todo
xr.buyer.identifier	BT-46	object / compose		todo
xr.buyer.identifier.value	BT-46	value / map		todo
xr.buyer.identifier.schemeId	BT-46 schemeId	value / map		todo
xr.buyer.vatIdentifier	BT-48	value / map		todo
xr.buyer.legalRegistrationId	BT-47	value / map		todo
xr.buyer.legalRegistrationIdSchemeId	BT-47 schemeId	value / map		todo
xr.buyer.address	BG-8	object / compose		todo
xr.buyer.address.street	BT-50	value / map		todo
xr.buyer.address.additionalStreet	BT-51	value / map		todo
xr.buyer.address.addressLine	BT-163	value / map		todo
xr.buyer.address.city	BT-52	value / map		todo
xr.buyer.address.postalCode	BT-53	value / map		todo
xr.buyer.address.countrySubdivision	BT-54	value / map		todo
xr.buyer.address.countryCode	BT-55	value / map		todo
xr.buyer.contact	BG-9	object / compose		todo
xr.buyer.contact.name	BT-56	value / map		todo
xr.buyer.contact.phone	BT-57	value / map		todo
xr.buyer.contact.email	BT-58	value / map		todo
xr.payee	BG-10	object / compose		todo
xr.payee.name	BT-59	value / map		todo
xr.payee.identifier	BT-60	object / compose		todo
xr.payee.identifier.value	BT-60	value / map		todo
xr.payee.identifier.schemeId	BT-60 schemeId	value / map		todo
xr.payee.sepaCreditorId	BT-90 when represented on payee	value / map		todo
xr.payee.legalRegistrationId	BT-61	value / map		todo
xr.payee.legalRegistrationIdSchemeId	BT-61 schemeId	value / map		todo
xr.taxRepresentative	BG-11, BG-12	object / compose		todo
xr.taxRepresentative.name	BT-62	value / map		todo
xr.taxRepresentative.vatIdentifier	BT-63	value / map		todo
xr.taxRepresentative.address	BG-12	object / compose		todo
xr.taxRepresentative.address.street	BT-64	value / map		todo
xr.taxRepresentative.address.additionalStreet	BT-65	value / map		todo
xr.taxRepresentative.address.addressLine	BT-164	value / map		todo
xr.taxRepresentative.address.city	BT-66	value / map		todo
